id,stationId,station_name,fuel_type,reading_time,fuel_volume_l,volume_diff,anomalyflag_corrected,anomalytypes,anomaly_score
34.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-20 17:26:00,12100.0,560.0,-1.0,Unusual Change,0.07317556126108915
35.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-20 17:26:00,11420.0,-680.0,-1.0,Sudden Drop,0.03432132003142141
201.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-20 18:10:00,5520.0,1489.9999999999995,-1.0,Unexpected Refill,0.16022751985745465
203.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-20 18:10:00,6160.0,470.0,-1.0,Unusual Change,0.05180491801026532
207.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-20 18:11:00,7370.0,1540.0,-1.0,Unexpected Refill,0.15971292449660568
208.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-20 18:12:00,9360.0,1990.0,-1.0,Unexpected Refill,0.18057074561911446
209.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-20 18:12:00,9730.0,370.0,-1.0,Unusual Change,0.02472613174901428
211.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-20 18:12:00,9890.0,340.0,-1.0,Unusual Change,0.0166522310280367
233.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-21 09:34:00,6040.0,-3850.0,-1.0,Sudden Drop,0.20909132112906503
256.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-21 09:40:00,1480.0,-4190.0,-1.0,Sudden Drop,0.2140368335391175
257.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-21 09:40:00,370.0,-1110.0,-1.0,Sudden Drop,0.11009659693087415
266.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-21 10:31:00,12640.0,330.0,-1.0,Unusual Change,0.009194915224009947
271.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-21 10:32:00,12780.0,830.0,-1.0,Unexpected Refill,0.1191090826478135
272.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-21 10:32:00,11950.0,-830.0,-1.0,Sudden Drop,0.07673611347760723
276.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-21 10:33:00,12310.0,520.0,-1.0,Unusual Change,0.058483868369414105
278.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-21 10:34:00,11790.0,-660.0,-1.0,Sudden Drop,0.02682343169935031
279.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-21 10:34:00,12310.0,520.0,-1.0,Unusual Change,0.058483868369414105
346.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-21 10:52:00,12590.0,800.0,-1.0,Unusual Change,0.1147398552322042
348.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-21 10:52:00,12640.0,510.0,-1.0,Unusual Change,0.05759260931443744
353.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-21 10:53:00,11560.0,-720.0,-1.0,Sudden Drop,0.04928499769649042
355.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-21 10:54:00,10850.0,-880.0,-1.0,Sudden Drop,0.09252593578086832
357.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-21 10:54:00,9940.0,-720.0,-1.0,Sudden Drop,0.04928499769649042
707.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-22 12:10:00,11190.0,-670.0,-1.0,Sudden Drop,0.031120904752159007
766.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-22 12:25:00,1420.0,-609.9999999999998,-1.0,Sudden Drop,0.015241052249984732
788.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-22 17:26:00,12450.0,510.0,-1.0,Unusual Change,0.05759260931443744
789.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-22 17:26:00,11880.0,-570.0,-1.0,Sudden Drop,0.0033916899487530516
792.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-22 17:27:00,10660.0,-700.0,-1.0,Sudden Drop,0.03906436164270699
834.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-22 17:43:00,740.0,-760.0,-1.0,Sudden Drop,0.06229528798762152
838.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-22 17:43:00,880.0,670.0,-1.0,Unusual Change,0.09740074510720498
839.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-22 17:44:00,190.0,-690.0,-1.0,Sudden Drop,0.03863171589047898
850.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-23 20:22:00,10660.0,-700.0,-1.0,Sudden Drop,0.03906436164270699
889.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-23 20:36:00,1460.0,-2030.0,-1.0,Sudden Drop,0.160120768094399
911.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-24 10:39:00,12100.0,560.0,-1.0,Unusual Change,0.07317556126108915
912.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-24 10:39:00,11420.0,-680.0,-1.0,Sudden Drop,0.03432132003142141
1078.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-24 11:20:00,5520.0,1489.9999999999995,-1.0,Unexpected Refill,0.16022751985745465
1080.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-24 11:21:00,6160.0,470.0,-1.0,Unusual Change,0.05180491801026532
1084.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-24 11:22:00,7370.0,1540.0,-1.0,Unexpected Refill,0.15971292449660568
1085.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-24 11:22:00,9830.0,2460.0,-1.0,Unexpected Refill,0.19389646320206888
1088.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-24 11:23:00,9890.0,340.0,-1.0,Unusual Change,0.0166522310280367
1110.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-24 11:28:00,6190.0,-3700.0,-1.0,Sudden Drop,0.20308755970500159
1133.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-24 11:34:00,2160.0,-3510.0,-1.0,Sudden Drop,0.19983156517454526
1134.0,ST001,Ceypetco Maharagama,Petrol 92,2025-11-24 11:35:00,370.0,-1790.0,-1.0,Sudden Drop,0.15193002622915397
